b2 80 -- --       	lpp
b2 84 -- --       	lcctl
b2 85 -- --       	lpctl
b2 86 -- --       	qsi
b2 87 -- --       	lsctl
b2 8e -- --       	qctri
b2 99 -- --       	srnm
b2 9c -- --       	stfpc
b2 9d -- --       	lfpc
b2 b0 -- --       	stfle
b2 b1 -- --       	stfl
b2 b2 -- --       	lpswe
b2 b8 -- --       	srnmb
b2 b9 -- --       	srnmt
b2 bd -- --       	lfas
b2 fc -- --       	tabort
b2 ff -- --       	trap4
b3 44 -- --       	ledbra
b3 45 -- --       	ldxbra
b3 46 -- --       	lexbra
b3 47 -- --       	fixbra
b3 53 -- --       	diebr
b3 57 -- --       	fiebra
b3 5b -- --       	didbr
b3 5f -- --       	fidbra
b3 90 -- --       	celfbr
b3 91 -- --       	cdlfbr
b3 92 -- --       	cxlfbr
b3 94 -- --       	cefbra
b3 95 -- --       	cdfbra
b3 96 -- --       	cxfbra
b3 98 -- --       	cfebra
b3 99 -- --       	cfdbra
b3 9a -- --       	cfxbra
b3 9c -- --       	clfebr
b3 9d -- --       	clfdbr
b3 9e -- --       	clfxbr
b3 a0 -- --       	celgbr
b3 a1 -- --       	cdlgbr
b3 a2 -- --       	cxlgbr
b3 a4 -- --       	cegbra
b3 a5 -- --       	cdgbra
b3 a6 -- --       	cxgbra
b3 a8 -- --       	cgebra
b3 a9 -- --       	cgdbra
b3 aa -- --       	cgxbra
b3 ac -- --       	clgebr
b3 ad -- --       	clgdbr
b3 ae -- --       	clgxbr
b3 d0 -- --       	mdtra
b3 d1 -- --       	ddtra
b3 d2 -- --       	adtra
b3 d3 -- --       	sdtra
b3 d5 -- --       	ledtr
b3 d7 -- --       	fidtr
b3 d8 -- --       	mxtra
b3 d9 -- --       	dxtra
b3 da -- --       	axtra
b3 db -- --       	sxtra
b3 dd -- --       	ldxtr
b3 df -- --       	fixtr
b3 e1 -- --       	cgdtra
b3 e9 -- --       	cgxtra
b3 f1 -- --       	cdgtra
b3 f5 -- --       	qadtr
b3 f7 -- --       	rrdtr
b3 f9 -- --       	cxgtra
b3 fd -- --       	qaxtr
