c0    4096 llilf
c0    4096 nihf
c0    4096 nilf
c0    4096 oihf
c0    4096 oilf
c0    4096 xihf
c0    4096 xilf
c2    4096 afi
c2    4096 agfi
c2    4096 alfi
c2    4096 algfi
c2    4096 cfi
c2    4096 cgfi
c2    4096 clfi
c2    4096 clgfi
c2    4096 msfi
c2    4096 msgfi
c2    4096 slfi
c2    4096 slgfi
c4    4096 lgfrl
c4    4096 lghrl
c4    4096 lgrl
c4    4096 lhrl
c4    4096 llgfrl
c4    4096 llghrl
c4    4096 llhrl
c4    4096 lrl
c4    4096 stgrl
c4    4096 sthrl
c4    4096 strl
c5   65536 bprp
c6    4096 cgfrl
c6    4096 cghrl
c6    4096 cgrl
c6    4096 chrl
c6    4096 clgfrl
c6    4096 clghrl
c6    4096 clgrl
c6    4096 clhrl
c6    4096 clrl
c6    4096 crl
c6    4096 exrl
c6    4096 pfdrl
c7    4096 bpp
c8    4096 csst
c8    4096 ectg
c8    4096 lpd
c8    4096 lpdg
c8    4096 mvcos
cc    4096 aih
cc    4096 alsih
cc    4096 alsihn
cc    4096 brcth
cc    4096 cih
cc    4096 clih
d0   65536 trtr
d1   65536 mvn
d2   65536 mvc
d3   65536 mvz
d4   65536 nc
d5   65536 clc
d6   65536 oc
d7   65536 xc
d9   65536 mvck
da   65536 mvcp
db   65536 mvcs
dc   65536 tr
dd   65536 trt
de   65536 ed
df   65536 edmk
e1   65536 pku
e2   65536 unpku
e3     256 agf
e3     256 ahy
e3     256 alc
e3     256 alcg
e3     256 alg
e3     256 algf
e3     256 ay
e3     256 bctg
e3     256 cg
e3     256 cgf
e3     256 chy
e3     256 clg
e3     256 clgf
e3     256 cly
e3     256 cvbg
e3     256 cvdy
e3     256 cy
e3     256 dl
e3     256 dlg
e3     256 dsg
e3     256 dsgf
e3     256 icy
e3     256 lay
e3     256 lb
e3     256 lbh
e3     256 lfhat
e3     256 lg
e3     256 lgat
e3     256 lgb
e3     256 lgf
e3     256 lgh
e3     256 lhh
e3     256 lhy
e3     256 llc
e3     256 llgc
e3     256 llgf
e3     256 llgfat
e3     256 llgh
e3     256 llgt
e3     256 llgtat
e3     256 llh
e3     256 lpq
e3     256 lrag
e3     256 lray
e3     256 lrv
e3     256 lrvg
e3     256 lrvh
e3     256 lt
e3     256 ltg
e3     256 ltgf
e3     256 ly
e3     256 mfy
e3     256 mhy
e3     256 ml
e3     256 mlg
e3     256 msg
e3     256 msgf
e3     256 msy
e3     256 ntstg
e3     256 ny
e3     256 og
e3     256 oy
e3     256 sg
e3     256 sgf
e3     256 shy
e3     256 slb
e3     256 slbg
e3     256 slg
e3     256 slgf
e3     256 sly
e3     256 stch
e3     256 stcy
e3     256 stfh
e3     256 stg
e3     256 sthh
e3     256 sthy
e3     256 stpq
e3     256 strvg
e3     256 strvh
e3     256 sy
e3     256 xg
e3     256 xy
e5     256 cghsi
e5     256 chhsi
e5     256 chsi
e5     256 clfhsi
e5     256 clghsi
e5     256 clhhsi
e5     256 lasp
e5     256 mvcdk
e5     256 mvcsk
e5     256 mvghi
e5     256 mvhhi
e5     256 mvhi
e5     256 strag
e5     256 tbegin
e5     256 tbeginc
e5     256 tprot
e8   65536 mvcin
e9   65536 pka
ea   65536 unpka
eb     256 asi
eb     256 bxleg
eb     256 cdsg
eb     256 cdsy
eb     256 clclu
eb     160 clgt
eb      16 clgte
eb      16 clgth
eb      16 clgtl
eb      16 clgtne
eb      16 clgtnh
eb      16 clgtnl
eb     256 cliy
eb     256 clmh
eb     256 clmy
eb     256 csg
eb     256 csy
eb     256 ecag
eb     256 icmy
eb     256 laa
eb     256 laag
eb     256 lan
eb     256 lang
eb     256 lax
eb     256 laxg
eb       1 lmg
eb      32 locg
eb      16 locge
eb      16 locgh
eb      16 locghe
eb      16 locgl
eb      16 locgle
eb      16 locglh
eb      16 locgne
eb      16 locgnh
eb      16 locgnhe
eb      16 locgnl
eb      16 locgnle
eb      16 locgnlh
eb      16 locgno
eb      16 locgo
eb     256 mvclu
eb     256 mviy
eb     256 oiy
eb     256 rll
eb     256 slag
eb     256 slak
eb     256 sllg
eb     256 sllk
eb     240 srak
eb     256 srlg
eb     256 srlk
eb     256 stamy
eb     256 stcmh
eb     256 stcmy
eb     256 stctg
eb     256 stmg
eb     256 stmh
eb     256 stmy
eb      32 stoc
eb      16 stoce
eb      32 stocg
eb      16 stocge
eb      16 stocgh
eb      16 stocghe
eb      16 stocgl
eb      16 stocgle
eb      16 stocglh
eb      16 stocgne
eb      16 stocgnh
eb      16 stocgnhe
eb      16 stocgnl
eb      16 stocgnle
eb      16 stocgnlh
eb      16 stocgno
eb      16 stocgo
eb      16 stoch
eb      16 stoche
eb      16 stocl
eb      16 stocle
eb      16 stoclh
eb      16 stocne
eb      16 stocnh
eb      16 stocnhe
eb      16 stocnl
eb      16 stocnle
eb      16 stocnlh
eb      16 stocno
eb      16 stoco
eb     256 tmy
eb      16 tp
eb     256 xiy
ec     256 aghik
ec     256 ahik
ec     256 alghsik
ec     256 alhsik
ec     256 brxhg
ec     256 brxlg
ec     160 cgib
ec      16 cgibe
ec      16 cgibh
ec      16 cgibl
ec      16 cgibne
ec      16 cgibnh
ec      16 cgibnl
ec     256 cgij
ec      16 cgit
ec     256 cgrb
ec     256 cgrj
ec     160 cib
ec      16 cibe
ec      16 cibh
ec      16 cibl
ec      16 cibne
ec      16 cibnh
ec      16 cibnl
ec     256 cij
ec      16 cit
ec      16 clfit
ec     160 clgib
ec      16 clgibe
ec      16 clgibh
ec      16 clgibl
ec      16 clgibne
ec      16 clgibnh
ec      16 clgibnl
ec     256 clgij
ec      16 clgit
ec     256 clgrb
ec     256 clgrj
ec     160 clib
ec      16 clibe
ec      16 clibh
ec      16 clibl
ec      16 clibne
ec      16 clibnh
ec      16 clibnl
ec     256 clij
ec     256 clrb
ec     256 clrj
ec     256 crb
ec     256 crj
ec     256 risbg
ec     256 rnsbg
ec     256 rosbg
ec     256 rxsbg
ed     256 adb
ed     256 aeb
ed     256 cdb
ed     256 cdzt
ed     256 ceb
ed     256 cxzt
ed     256 czdt
ed     256 czxt
ed     256 ddb
ed     256 deb
ed     256 kdb
ed     256 keb
ed     256 lde
ed     256 ldeb
ed     256 ldy
ed     256 ley
ed     256 lxd
ed     256 lxdb
ed     256 lxe
ed     256 lxeb
ed     256 mad
ed     256 madb
ed     256 maeb
ed     256 may
ed     256 mayh
ed     256 mayl
ed     256 mdb
ed     256 mdeb
ed     256 msd
ed     256 msdb
ed     256 mse
ed     256 mseb
ed     256 mxdb
ed     256 my
ed     256 myh
ed     256 myl
ed     256 sdb
ed     256 seb
ed     256 sldt
ed     256 slxt
ed     256 sqd
ed     256 sqdb
ed     256 sqe
ed     256 srdt
ed     256 srxt
ed     256 stdy
ed     256 stey
ed     256 tcdb
ed     256 tceb
ed     256 tcxb
